cttee_id,cttee_name,interest_id
365,Business and Trade Committee,d0b68be033
15,Committees on Arms Export Controls,7d4daaef92
378,"Culture, Media and Sport Committee",d923a01dbe
24,Defence Committee,ea90547c65
203,Education Committee,1197523e4d
664,Energy Security and Net Zero Committee,86e27af737
52,"Environment, Food and Rural Affairs Committee",4997d196e8
78,Foreign Affairs Committee,f8712e03c9
81,Health and Social Care Committee,41cd4f70c5
83,Home Affairs Committee,afdaa23017
17,"Housing, Communities and Local Government Committee",88a30c33b9
98,International Development Committee,2d510295c2
102,Justice Committee,f4bfe07b04
120,Northern Ireland Affairs Committee,90140ead89
326,Petitions Committee,9acd6ec629
135,"Science, Innovation and Technology Committee",3ac12952d5
136,Scottish Affairs Committee,0f213d68d7
153,Transport Committee,203ea269cd
158,Treasury Committee,573813f744
162,Welsh Affairs Committee,29826af56a
328,Women and Equalities Committee,5447e93901
164,Work and Pensions Committee,e11487e462
